2025-01-01 09:00:00 | DEPOSIT   | NÒMINA               |   +1800.00 €
2025-01-01 09:00:00 | WITHDRAW  | LLOGUER              |    -800.00 €
2025-01-01 09:00:00 | WITHDRAW  | INTERNET             |     -50.00 €
2025-01-01 09:00:00 | WITHDRAW  | ASSEGURANÇA LLAR     |     -30.00 €
2025-01-04 11:32:15 | WITHDRAW  | SUPERMERCAT          |    -120.00 €
2025-01-04 18:45:22 | WITHDRAW  | COMPRES              |     -60.00 €
2025-01-11 18:17:40 | WITHDRAW  | SUPERMERCAT          |    -120.00 €
2025-01-11 19:05:33 | WITHDRAW  | COMPRES              |     -60.00 €
2025-01-14 20:15:42 | WITHDRAW  | BENZINERA            |     -50.00 €
2025-01-18 10:24:52 | WITHDRAW  | SUPERMERCAT          |    -120.00 €
2025-01-18 17:11:19 | WITHDRAW  | COMPRES              |     -60.00 €
2025-01-25 17:50:30 | WITHDRAW  | SUPERMERCAT          |    -120.00 €
2025-01-25 19:02:44 | WITHDRAW  | COMPRES              |     -60.00 €
2025-01-26 20:44:11 | WITHDRAW  | RESTAURANT           |     -35.00 €
